Time,Belgium,Bulgaria,Czechia,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,Iceland,Norway,Switzerland
2000,49.4,43,40.8,52.7,47.8,36.4,30.6,46.4,39.1,51.7,54.6,46.5,34.4,37.1,39.4,38,47.3,40.1,42.4,51,43,42.7,38.5,47.5,52.8,47.9,53.1,44.8,42.4,33.3
2001,49.4,40.6,43.3,52.8,47.4,35,32.2,46,38.4,51.7,50.6,47.3,35.3,34.7,37.1,38.1,47.3,41.5,43.1,51.4,44.8,44.1,36.3,48.7,45.3,47.3,52.5,47.4,44.1,32.6
2002,49.9,39.1,44.7,53.2,47.9,35.9,32.9,45.8,38.6,52.8,48.8,46.7,37,35,35.2,41.8,51,41.4,43.7,51.1,45.2,43.7,34.9,47.3,45.4,48.5,53.6,45.5,47.1,35.1
2003,51,38.6,49.1,53.6,48.3,35,32.7,46.6,38.4,53.3,49.2,47.2,40.5,33.8,33.6,43.3,49.1,44.9,44.7,51.3,45.6,45.4,34.3,47.2,40.4,49.3,53.8,47.8,48.2,34.2
2004,49.3,37.8,42.3,53,46.8,34.1,32.8,47.6,38.8,53,48.5,46.9,38.5,35.1,34.1,43.7,48.7,41.9,43.7,53.7,43.5,46.2,33.8,46.6,37.9,49.1,52.5,46.7,45.3,33.9
2005,51.9,36.7,42.4,51.2,46.8,33.7,33,45.6,38.5,53.3,46,47.2,39.3,34.8,34.1,43.4,49.3,42.4,42.6,51.2,44.2,46.8,33.5,46.4,39.7,49,52.3,45,42.3,33.3
2006,48.8,33.7,41.5,49.8,45.2,33.4,33.6,45.1,38.4,52.9,44.2,47.8,38.7,36.5,34.3,39.4,51.4,42.2,43.4,50.4,44.5,45.2,35.6,45.5,38.8,48.1,51.1,44.8,41,31.4
2007,48.6,37.7,40.4,49.6,43.4,33.7,35.6,47.1,39.3,52.6,45.9,46.8,37.6,34.5,35.3,37.4,49.9,40.9,42.7,49.2,42.9,44.5,37.5,43.4,36.4,46.6,49.3,44.7,41.6,30.3
2008,50.8,37.1,40.9,50.4,44.2,39.5,41.6,50.8,41.4,53.3,45.9,47.8,38.4,38.3,38.1,37.9,48.7,42.2,43.5,49.9,44.2,45.3,37.7,45.1,37,47.9,50,63.4,40.3,30.8
2009,54.7,39.3,44.4,56.5,48.2,45.9,46.9,54.1,46.2,57.2,49,51.1,42.1,45.1,45,42.7,50.6,41.2,47.9,54.1,45,50.2,39.9,49.4,44.4,54.1,52.4,53.6,46.3,32.7
2010,53.9,36.1,43.6,56.7,48.1,40.3,64.9,53,46,56.9,47.9,49.9,41.7,45.8,42.4,42,48.8,40.2,48.2,52.8,46.2,51.9,39.5,50.2,42.1,53.9,50.4,48.8,45.1,32.4
2011,55.3,33.7,43.2,56.4,45.2,37.4,47.2,55.1,46.2,56.3,48.4,49.2,42.1,42.3,42.5,41.5,49.1,42,47.1,50.9,44.4,50,38.1,50.9,41.4,53.7,49.8,50.5,43.9,32.4
2012,56.5,34.3,44.7,58,44.9,39.2,42.6,57.2,49.5,57.1,47.2,50.6,42.1,38.8,36.2,41.8,49.1,42.1,47,51.2,43.4,48.9,36.2,49.4,41.1,55.4,51,47.7,43,32.7
2013,56.1,37.8,42.7,55.8,44.9,38.4,40.6,63.2,46.4,57.2,48,51,42.8,38.5,35.6,41.2,50.1,40.8,46.8,51.6,43.4,49.9,36,60.3,42.5,56.8,51.7,46,44.1,33.6
2014,55.6,43.2,42.6,55.2,44.3,37.8,37.5,51.2,45.3,57.2,48.8,50.9,49.3,39,34.7,40.6,50,40.3,46.1,52.4,42.9,51.7,35.4,50.8,43.3,57.3,50.7,45.8,45.9,33.3
2015,53.7,40.4,41.9,54.5,44.1,39.5,29,54.5,44,56.8,47.6,50.3,40.4,38.7,35.2,40.4,50.4,38.5,44.8,51.1,41.7,48.2,36,48.7,45.6,56.5,49.4,43.5,49,33.6
2016,53.1,34.8,39.8,52.5,44.4,39.4,28.1,50.3,42.5,56.7,46,49.1,37.3,37.5,34.2,40,46.8,36.4,43.6,50.1,41.3,44.8,35,46.2,42.5,55.6,49.7,46.4,51.2,33.7
2017,52,34.8,39,50.5,44.2,39.2,26.1,48.7,41.3,56.5,44.3,48.8,36.4,38.2,33.2,41.3,46.7,34.5,42.5,49.3,41.4,45.4,33.6,44.1,39.5,53.6,49.3,44.4,50.1,33.7
2018,52.3,37,40.6,50.5,44.3,39.3,25.3,48.9,41.8,55.6,45.3,48.4,42.6,39.3,34,42.3,46.1,36,42.3,48.8,41.4,43.2,34.5,43.5,39.7,53.4,49.9,43.8,48.5,33
2019,51.9,36.3,41.1,49.7,45,39.1,24.3,48.1,42.3,55.4,46.2,48.5,38.5,38.4,34.8,43.1,46.1,35.7,42.1,48.7,41.9,42.5,36.3,43.4,40.5,53.3,49.2,43.6,51.1,33.3
2020,58.8,41.5,47.2,53.5,50.5,44.9,27.2,60.2,51.9,61.3,54,57,44.2,42.5,42.7,47,51.4,45.3,47.8,56.8,48.2,49.2,41.8,51.4,44.7,57.2,52.1,51.3,57.6,38.3
2021,54.8,41.7,46.5,49.8,50.9,41.9,24.4,57.7,50,59.1,48.6,56.3,41.9,44.7,37.4,42.9,48.4,42.9,46,56.2,44.1,47.5,40,49.5,45.3,55.8,49.1,49.9,47.1,35.8
2022,53.2,41.4,44.6,45,49.5,39.8,21.2,52.9,47.4,58.3,44.9,56.1,38.8,40.4,36.4,43.9,48.8,39.3,43.5,53.2,43.9,44.1,40.2,47.2,42.3,53.3,47.5,47.5,38.4,33
