Time,Belgium,Bulgaria,Czechia,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,Iceland,Norway,Switzerland
2000,49.3,43.1,37.3,54.6,46.2,36.3,35.4,42.4,37.9,50.3,45.8,44.1,32.2,34.4,36.3,43.5,44.3,34.6,43.6,48.6,39,39.4,33.9,43.9,40.1,54.8,56.2,46.3,57.4,33.6
2001,49.6,41.3,37.6,54,44.4,35.2,33.1,40.5,38,50.3,46.1,44.1,33.2,32.7,33.6,43.8,43.3,35.4,42.7,50.7,40.1,39.3,32.9,44.3,38.1,52.3,53.9,47.1,57.3,32.8
2002,49.9,38,38.3,53.2,44,36.3,32.4,39.8,38.3,49.6,44.2,43.8,32.9,32.7,33.3,43.8,42.2,36,41.7,49.7,40.4,40.4,33,44.9,37.2,52.5,52.2,43.2,56.1,33.3
2003,49.2,38.5,42.3,53.5,44.6,36.8,33,38.8,38,49.3,44.6,44,34.6,32.2,32.4,43.6,41.9,36,41.6,49.5,39.6,39.7,32.9,44.6,37.3,51.8,52.6,45.5,55.4,32.8
2004,49.1,39.6,40,55.1,43.5,36.5,34.1,38.8,38.7,49.4,42.8,43.4,34.9,33.9,32.7,42.3,42.1,37.6,41.9,48.9,38.4,40,32.7,44.7,35.6,51.3,52.7,47,56.1,32.5
2005,49.1,38.4,39.3,56.2,43.5,34.8,34.6,39.4,39.7,49.9,43,43.2,37.1,34.3,33.8,43.2,41.5,39.6,42.1,48.6,40.3,40.6,32.7,45.1,36.9,51.7,54.1,50,57.1,32.6
2006,49,36.3,39.3,54.8,43.6,36.3,36.3,39.2,40.6,50.4,42.3,44.2,37.7,35.9,34.1,41.3,42.1,39.7,43.4,47.8,40.9,41.1,33.5,44.3,35.2,52,53.2,51.3,58.9,32.2
2007,48.6,37.7,39.8,54.6,43.7,36.5,35.9,40.4,41.1,49.9,43.8,45.4,40.8,34,34.5,41.7,44.8,38.9,42.5,47.9,41,41.6,34.8,43.4,34.3,51.7,52.6,50.3,58.6,31.8
2008,49.7,38.5,38.9,53.6,44.1,36.8,34.5,40.7,36.9,50,43.5,45.3,39.3,34,35,41.3,45,38.1,43.6,48.4,40.6,41.6,32.3,43.7,34.5,52.1,51.9,51.2,58.9,32.7
2009,49.2,34.8,38.9,53.7,45,43.7,33,38.9,35,50,42,46,36.7,35.5,35.8,42.5,45.8,38,42.7,48.8,37.8,40.4,30.4,43.5,36.3,51.6,51.6,45,56.5,33.2
2010,49.8,32.5,39.5,54,43.8,40.5,32.8,41.6,36.5,50,41.2,45.7,37,37.2,35.5,41.7,44.4,37.9,42.8,48.4,38.8,40.5,32.4,44.6,34.7,51.4,50.3,42.1,56,32.7
2011,51,32,40.5,54.4,44.4,38.5,33.6,44.6,36.4,51.1,40.8,45.6,36.4,38,33.6,42.2,43.8,38.9,42.7,48.3,39.4,42.4,32.5,44.2,37.1,52.6,49.4,44,57.2,33
2012,52.2,33.5,40.8,54.5,44.9,39,34.1,48,37.9,52.1,41.7,47.6,36.3,37.4,33,42.3,46.8,38.8,43.1,49,39.6,42.7,32.3,45.4,36.8,53.3,49.9,45.1,56.7,32.9
2013,53,37,41.4,54.6,45,38.6,34.2,49.8,38.9,53.1,42.4,48.1,37.3,37.3,32.9,42.1,47.5,38.6,43.9,49.7,39.1,44.8,33.7,45.7,39.6,54.3,50.2,44.7,54.7,33.2
2014,52.5,37.8,40.5,56.4,44.9,38.5,33.9,47.4,39.2,53.3,43.6,47.9,40.5,37.3,34.1,41.9,47.3,38.7,43.8,49.7,39.2,44.4,34.2,45.3,40.2,54.3,49.2,46.1,54.5,33
2015,51.3,38.5,41.3,53.2,45.1,39.6,27,48.6,38.7,53.2,44.1,47.8,39.5,37.2,34.9,41.7,48.4,37.7,42.9,50.1,39.1,43.8,35.5,45.9,42.9,54.1,49.3,43.1,55,34.2
2016,50.8,35.1,40.5,52.4,45.5,39,27.4,50.5,38.2,53,44.9,46.7,37.5,37.5,34.5,41.9,45,37.5,43.8,48.5,38.9,42.9,32.5,44.2,40,53.9,50.7,59,55.3,33.9
2017,51.3,36.4,40.5,52.3,45.5,38.8,25.8,49.5,38.2,53.5,44.9,46.3,38.3,37.9,33.6,42.6,44.3,37.7,43.8,48.5,39.9,42.4,31.1,44,38.5,53,50.6,45.4,55,34.8
2018,51.4,38.7,41.5,51.3,46.3,38.7,25.4,49.8,39.2,53.4,45.3,46.2,39,38.5,34.5,45.3,44,37.9,43.8,48.9,41.2,42.9,31.7,44.2,38.7,52.5,50.6,44.8,56.3,34.3
2019,49.9,38.5,41.3,53.8,46.5,39.3,24.8,49,39.2,52.3,46.4,47,39.4,37.9,35.3,45.3,44,36.2,43.9,49.2,41.1,42.6,32,44.1,39.3,52.4,49.7,42,57.6,34.6
2020,49.9,37.7,41.5,53.9,46.1,39.4,22.2,50.5,41.8,52.4,46.7,47.4,38.5,38,36.2,43.5,43.9,35.7,44.1,48.8,41.3,43.4,32.5,43.7,39.4,51.6,49.3,42.3,55.1,35.3
2021,49.5,37.7,41.4,53.9,47.3,39.4,22.9,50.7,43.3,52.6,46.1,47.5,40,37.5,36.3,43.4,41.2,35.5,43.7,50.4,42.3,44.6,32.9,44.9,40.2,53,49.2,41.4,57.4,35.5
2022,49.6,38.5,41.4,48.3,47,38.8,22.9,50.5,42.6,53.5,45,48,41.2,35.8,35.7,43.6,42.6,33.7,43.4,49.6,40.2,43.8,33.9,44.1,40.2,52.8,48.7,43.5,63.9,34.2
