Year,Belgium,Bulgaria,Czechia,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,Iceland,Norway,Switzerland
2000,109.6,70.7,17,52.4,59.3,5.1,36.4,104.9,57.8,58.9,35.4,109,55.7,12.1,23.5,7.5,55.7,60.7,52.2,66.1,36.4,54.2,22.5,25.9,50.5,45.1,50.3,NaN,NaN,NaN
2001,108.2,64.5,22.7,48.5,58.2,4.8,33.6,107.1,54,58.3,36.6,108.9,57.3,13.8,22.9,7.6,52.3,64.9,49.5,66.7,37.3,57.4,25.9,26.1,51.1,43.4,51.9,NaN,NaN,NaN
2002,105.4,51,25.8,49.1,59.9,5.7,30.9,104.9,51.2,60.3,36.5,106.4,60.5,13,22.2,7.4,55.6,63.1,48.9,66.7,41.7,60,24.8,27.4,45.3,42.6,49.8,NaN,NaN,NaN
2003,101.7,43.4,28.2,46.2,63.5,5.6,29.8,101.5,47.7,64.4,37.8,105.5,63.8,14.1,20.4,7.4,58.1,68.6,50,65.9,46.6,63.9,22.1,26.8,43.2,45.1,49.3,NaN,NaN,NaN
2004,97.2,35.7,28.4,44.2,65.2,5.1,28.1,102.9,45.4,65.9,39.9,105.1,64.8,14.6,18.7,7.8,58.8,71.3,50.3,65.2,45.1,67.1,18.9,26.9,41.7,44.9,48.5,NaN,NaN,NaN
2005,95.1,26.6,27.7,37.4,67.5,4.7,26.1,107.4,42.4,67.4,40.9,106.6,63.4,11.9,17.6,8,60.5,69.9,49.8,68.6,46.6,72.2,15.9,26.4,34.7,42.1,48.7,NaN,NaN,NaN
2006,91.5,20.9,27.6,31.5,66.9,4.6,23.6,103.6,39.1,64.6,38.4,106.7,59.3,10,17.3,8.2,64.4,64.3,45.2,67.3,47.3,73.7,12.4,26.1,31.4,40.2,43.6,NaN,NaN,NaN
2007,87.3,16.3,27.3,27.3,64.2,3.8,23.9,103.1,35.8,64.5,37.1,103.9,54,8.4,15.9,8.1,65.6,61.9,43,65,44.5,72.7,11.9,22.8,30.3,36,38.9,NaN,NaN,NaN
2008,93.2,13,28.1,33.3,65.7,4.5,42.5,109.4,39.7,68.8,38.9,106.2,45.5,18.5,14.6,14.6,71.8,61.8,54.7,68.7,46.7,75.6,12.3,21.8,28.6,34.7,37.5,NaN,NaN,NaN
2009,100.2,13.7,33.4,40.2,73.2,7.2,61.8,126.7,53.3,83,48.1,116.6,54.3,37,28,15.3,78,66.3,56.8,79.9,49.8,87.8,21.8,34.5,36.4,44.1,40.7,NaN,NaN,NaN
2010,100.3,15.3,37.1,42.6,82,6.7,86.2,147.5,60.5,85.3,57,119.2,56.3,47.6,36.2,19.1,80,65.5,59.3,82.7,54,100.2,29,38.3,40.6,50.1,38.1,NaN,NaN,NaN
2011,103.5,15.2,39.7,46.1,79.4,6.2,110.4,175.2,69.9,87.8,63.3,119.7,65.8,45.1,37.1,18.5,80.3,70,61.7,82.4,55.1,114.4,32.3,46.5,43.2,51.9,37.2,NaN,NaN,NaN
2012,104.8,16.6,44.2,44.9,80.7,9.8,119.9,162,90,90.6,69.1,126.5,80.1,42.4,39.7,20.8,78.2,66.6,66.2,81.9,54.8,129,35.4,53.6,51.7,57.7,37.5,NaN,NaN,NaN
2013,105.5,17,44.4,44,78.3,10.2,120.1,178.2,100.5,93.4,80,132.5,103.7,40.3,38.7,22.4,77.2,66.4,67.7,81.3,57.1,131.4,37.8,70,54.7,60.6,40.3,NaN,NaN,NaN
2014,107,27,41.9,44.3,75.3,10.6,104,180.3,105.1,94.9,83.6,135.4,108.8,41.6,40.5,21.9,76.5,62.1,67.9,84,51.4,132.9,39.2,80.3,53.5,64.5,45,NaN,NaN,NaN
2015,105.2,25.9,39.7,39.8,71.9,10.1,76.5,176.7,103.3,95.6,83,135.3,107.5,37,42.5,21.1,75.8,56.2,64.7,84.9,51.3,131.2,37.8,82.6,51.7,68.3,43.7,NaN,NaN,NaN
2016,105,29.1,36.6,37.2,69,10,74.4,180.5,102.7,98,79.5,134.8,103.2,40.3,39.7,19.6,74.9,54.7,61.9,82.8,54.5,131.5,37.9,78.5,52.3,68,42.2,NaN,NaN,NaN
2017,102,25.1,34.2,35.9,65.2,9.1,67.4,179.5,101.8,98.1,76.3,134.2,93.2,38.9,39.1,21.8,72.1,47.8,57,78.5,50.8,126.1,35.3,74.2,51.5,66,41.4,NaN,NaN,NaN
2018,99.9,22.1,32.1,34,61.9,8.2,62.9,186.4,100.4,97.8,73.1,134.5,98.5,37,33.7,20.9,69.1,43.4,52.4,74.1,48.7,121.5,34.5,70.3,49.4,64.8,39.6,NaN,NaN,NaN
2019,97.6,20,30,33.7,59.6,8.5,57.1,180.6,98.2,97.4,70.9,134.2,93,36.7,35.8,22.4,65.3,40,48.6,70.6,45.7,116.6,35.1,65.4,48,64.9,35.6,NaN,NaN,NaN
2020,111.8,24.6,37.7,42.3,68.8,18.6,58.1,207,120.3,114.6,86.8,154.9,114.9,42.2,46.2,24.6,79.3,52.2,54.7,83,57.2,134.9,46.8,79.6,58.9,74.7,39.9,NaN,NaN,NaN
2021,108,23.9,42,36,69,17.8,54.4,195,116.8,112.9,78.1,147.1,99.3,44,43.4,24.5,76.7,54,51.7,82.5,53.6,124.5,48.5,74.4,61.1,72.5,36.5,NaN,NaN,NaN
2022,104.3,22.6,44.2,29.8,66.1,18.5,44.4,172.6,111.6,111.8,68.2,141.7,85.6,41,38.1,24.7,73.9,52.3,50.1,78.4,49.3,112.4,47.2,72.3,57.8,73.3,32.9,NaN,NaN,NaN
